id,date,asset,liability
23556,6/30/2002,267017,243418
23556,9/30/2002,304023,276370
23567,12/31/2002,107069,97619
23567,3/31/2002,83930,75052
23567,6/30/2002,91325,82254
23567,9/30/2002,98449,89193
23568,12/31/2002,267084,247270
23568,3/31/2002,277990,262094
23568,6/30/2002,259072,241735
23568,9/30/2002,267461,248108
23577,12/31/2002,769660,699460
23577,3/31/2002,704062,640178
23577,6/30/2002,720831,654981
23577,9/30/2002,753557,685866
23579,12/31/2002,137389,126610
23579,3/31/2002,138386,128149
23579,6/30/2002,133288,122946
23579,9/30/2002,135716,125211
23588,12/31/2002,144930,130507
23588,3/31/2002,138861,129394
23588,6/30/2002,144314,130957
23588,9/30/2002,147267,133048
2359,12/31/2002,224945,202763
2359,3/31/2002,211311,191844
2359,6/30/2002,220688,201021
2359,9/30/2002,221291,199531
23591,12/31/2002,41292,37312
23591,3/31/2002,40815,37314
23591,6/30/2002,41319,37596
23591,9/30/2002,40850,37001
23592,3/31/2002,22122,10404
23592,12/31/2002,24311,12079
23592,6/30/2002,24121,12217
23592,9/30/2002,22571,10530
23594,12/31/2002,1820000,1650000
23594,3/31/2002,1670000,1510000
23594,6/30/2002,1740000,1560000
23594,9/30/2002,1830000,1640000
23595,12/31/2002,100908,90916
23595,3/31/2002,76146,68259
23595,6/30/2002,73452,65452
23595,9/30/2002,85358,77161
23597,12/31/2002,93303,84472
23597,3/31/2002,99064,90582
23597,6/30/2002,95021,86066
23597,9/30/2002,96262,86958
236,12/31/2002,31767,28550
236,3/31/2002,32492,29721
236,6/30/2002,31988,29048
236,9/30/2002,30911,27797
23620,12/31/2002,818565,729839
23620,3/31/2002,785726,695831
23620,6/30/2002,796782,707349
23620,9/30/2002,817078,728844
23621,12/31/2002,1040000,933387
23621,3/31/2002,1020000,906194
23621,6/30/2002,1030000,914260
23621,9/30/2002,1060000,940862
23622,12/31/2002,743234,629058
23622,3/31/2002,711486,598079
23622,6/30/2002,706463,593685
23622,9/30/2002,721736,612164
23623,12/31/2002,1750000,1620000
23623,3/31/2002,1360000,1270000
23623,6/30/2002,1640000,1520000
23623,9/30/2002,1690000,1560000
23626,12/31/2002,102333,87532
23626,3/31/2002,98352,84318
23626,6/30/2002,97753,83221
23626,9/30/2002,102186,87130
23627,12/31/2002,1740000,1590000
23627,3/31/2002,1610000,1480000
23627,6/30/2002,1590000,1460000
23627,9/30/2002,1610000,1480000
23632,12/31/2002,208727,195248
23632,3/31/2002,179555,167696
23632,6/30/2002,187119,174917
23632,9/30/2002,193319,180555
23634,3/31/2002,649131,597555
23634,6/30/2002,645947,592871
23647,12/31/2002,1050000,976402
23647,3/31/2002,1030000,961913
23647,6/30/2002,1040000,971990
23647,9/30/2002,1040000,971274
23671,12/31/2002,75596,68513
23671,3/31/2002,67285,61189
23671,6/30/2002,69740,63375
23671,9/30/2002,70303,63639
23675,12/31/2002,72757,65174
23675,3/31/2002,69311,62129
23675,6/30/2002,68975,61540
23675,9/30/2002,73754,66333
23681,12/31/2002,585011,547453
23681,3/31/2002,586564,553673
23681,6/30/2002,615184,579142
23681,9/30/2002,637126,599194
23702,12/31/2002,32700000,28500000
23702,3/31/2002,36200000,32100000
23702,6/30/2002,33100000,28800000
23702,9/30/2002,33300000,28800000
23713,12/31/2002,144054,135444
23713,3/31/2002,143423,135256
23713,6/30/2002,146701,138373
23713,9/30/2002,144343,135941
2372,12/31/2002,49576,45755
2372,3/31/2002,49033,45503
2372,6/30/2002,50219,46691
2372,9/30/2002,51022,47272
23737,12/31/2002,121231,111842
23737,3/31/2002,114557,105656
23737,6/30/2002,116010,106888
23737,9/30/2002,118027,108828
23739,12/31/2002,63684,56947
23739,3/31/2002,65398,58893
23739,6/30/2002,65842,59188
23739,9/30/2002,62837,56085
2374,12/31/2002,143822,130826
2374,3/31/2002,143200,131185
2374,6/30/2002,140781,128311
2374,9/30/2002,143037,130284
23743,12/31/2002,1070000,865133
23743,9/30/2002,1000000,913255
23743,3/31/2002,404164,356159
23743,6/30/2002,406375,360918
23745,12/31/2002,65212,59716
23745,3/31/2002,61254,56041
23745,6/30/2002,64212,58860
23745,9/30/2002,66354,60955
23749,12/31/2002,52766,47758
23749,3/31/2002,50147,45448
23749,6/30/2002,47329,42526
23749,9/30/2002,53239,48352
2375,12/31/2002,72434,63446
2375,3/31/2002,73305,64911
2375,6/30/2002,73575,64826
2375,9/30/2002,72843,63935
23754,12/31/2002,122458,110892
23754,3/31/2002,118980,107830
23754,6/30/2002,117826,106569
23754,9/30/2002,119392,108022
23756,12/31/2002,144291,130244
23756,3/31/2002,136148,123533
23756,6/30/2002,144195,131142
23756,9/30/2002,140686,127133
23757,12/31/2002,174007,152918
23757,3/31/2002,173010,160007
23757,6/30/2002,185761,166630
23757,9/30/2002,177421,158025
23760,12/31/2002,77214,71710
23760,3/31/2002,69829,64750
23760,6/30/2002,72411,67157
23760,9/30/2002,74238,68851
23764,12/31/2002,27685,25542
23764,3/31/2002,25231,23282
23764,6/30/2002,26747,24730
23764,9/30/2002,27819,25752
2377,12/31/2002,150862,135144
2377,3/31/2002,149628,136026
2377,6/30/2002,145610,131183
2377,9/30/2002,149594,134450
23772,12/31/2002,410290,370522
23772,3/31/2002,334766,303287
23772,6/30/2002,368270,333808
23772,9/30/2002,428182,391807
23786,12/31/2002,181361,161270
23786,3/31/2002,187097,159280
23786,6/30/2002,178234,156137
23786,9/30/2002,181816,160998
2379,12/31/2002,100953,84395
2379,3/31/2002,103976,89205
2379,6/30/2002,103320,87555
2379,9/30/2002,102661,86191
23798,12/31/2002,90793,84354
23798,3/31/2002,91333,85474
23798,6/30/2002,85111,78958
23798,9/30/2002,84960,78580
23799,12/31/2002,126287,115053
23799,3/31/2002,98431,88065
23799,6/30/2002,102532,91683
23799,9/30/2002,107201,95949
238,12/31/2002,24273,21514
238,3/31/2002,22267,19796
238,6/30/2002,22502,19922
238,9/30/2002,23407,20754
2380,12/31/2002,151398,136595
2380,3/31/2002,151000,133065
2380,6/30/2002,147765,129117
2380,9/30/2002,147911,128753
23803,12/31/2002,162564,150025
23803,3/31/2002,157277,146385
23803,6/30/2002,160205,148043
23803,9/30/2002,166918,154529
23805,12/31/2002,125154,115640
23805,3/31/2002,137579,127541
23805,6/30/2002,134116,123804
23805,9/30/2002,134029,124230
23806,12/31/2002,126714,116786
23806,3/31/2002,117395,108067
23806,6/30/2002,121756,112261
23806,9/30/2002,124167,114425
23815,12/31/2002,64619,56840
23815,3/31/2002,58818,51367
23815,6/30/2002,57912,50274
23815,9/30/2002,57603,49896
2382,12/31/2002,38641,32808
2382,3/31/2002,39663,33954
2382,6/30/2002,38860,33058
2382,9/30/2002,38469,32589
23826,12/31/2002,234794,211487
23826,3/31/2002,210981,189261
23826,6/30/2002,221279,198880
23826,9/30/2002,222458,199392
2383,12/31/2002,32565,26833
2383,3/31/2002,32744,27230
2383,6/30/2002,32046,26302
2383,9/30/2002,33986,28028
23834,12/31/2002,77126,68693
23834,3/31/2002,50895,42561
23834,6/30/2002,47644,39282
23834,9/30/2002,65443,57052
23835,12/31/2002,27570,24040
23835,3/31/2002,29429,25951
23835,6/30/2002,28697,25184
23835,9/30/2002,27879,24334
23836,12/31/2002,29178,25879
23836,3/31/2002,29229,26371
23836,6/30/2002,28913,25798
23836,9/30/2002,28590,25228
23864,12/31/2002,141398,128738
23864,3/31/2002,161484,149091
23864,6/30/2002,148622,135834
23864,9/30/2002,152508,139319
23866,12/31/2002,59511,53289
23866,3/31/2002,59063,52867
23866,6/30/2002,70471,64055
23866,9/30/2002,68222,61863
23876,12/31/2002,67129,58211
23876,3/31/2002,58844,50827
23876,6/30/2002,62715,54543
23876,9/30/2002,62666,53919
23881,12/31/2002,739963,669278
23881,3/31/2002,854604,791196
23881,6/30/2002,811871,743393
23881,9/30/2002,776529,706104
23883,3/31/2002,166842,155247
23886,12/31/2002,239253,218527
23886,3/31/2002,218295,200153
23886,6/30/2002,221717,202438
23886,9/30/2002,235249,215074
23891,12/31/2002,35570,32132
23891,3/31/2002,37782,34481
23891,6/30/2002,37046,33659
23891,9/30/2002,36917,33410
23894,12/31/2002,40540,34383
23894,3/31/2002,42316,38137
23894,6/30/2002,41024,36769
23894,9/30/2002,38107,33782
239,12/31/2002,47531,43596
239,3/31/2002,51058,47128
239,6/30/2002,47494,43555
239,9/30/2002,46448,42478
23901,12/31/2002,444786,408458
23901,3/31/2002,436835,401862
23901,6/30/2002,434522,399123
23901,9/30/2002,446236,410416
2391,12/31/2002,144653,130356
2391,3/31/2002,150504,136626
2391,6/30/2002,155774,141370
2391,9/30/2002,174739,159754
23927,12/31/2002,71679,64594
23927,3/31/2002,66013,60054
23927,6/30/2002,66106,59608
23927,9/30/2002,68221,61576
23966,12/31/2002,500369,476013
23966,3/31/2002,264379,245525
23966,6/30/2002,252414,233274
23966,9/30/2002,253492,234062
2398,12/31/2002,112523,103065
2398,3/31/2002,114669,105226
2398,6/30/2002,115806,106155
2398,9/30/2002,116112,106066
23986,3/31/2002,43723,39520
23986,12/31/2002,47808,43305
23986,6/30/2002,43934,39709
23986,9/30/2002,46326,41949
23989,12/31/2002,65116,57908
23989,3/31/2002,66016,59464
23989,6/30/2002,65352,58501
23989,9/30/2002,64396,57244
23992,12/31/2002,896584,781628
23992,3/31/2002,843438,735977
23992,6/30/2002,860856,749287
23992,9/30/2002,880312,768505
23998,12/31/2002,94143,79350
23998,3/31/2002,92542,82385
23998,6/30/2002,93363,83617
23998,9/30/2002,87337,77672
24015,12/31/2002,210234,194190
24015,3/31/2002,184199,170133
24015,6/30/2002,199046,183923
24015,9/30/2002,202652,186976
2402,12/31/2002,111217,100754
2402,3/31/2002,103195,93650
2402,6/30/2002,99566,89575
2402,9/30/2002,106191,96041
24029,12/31/2002,5810000,4230000
24029,3/31/2002,5720000,4270000
24029,6/30/2002,6050000,4560000
24029,9/30/2002,5850000,4310000
24030,12/31/2002,102944,94794
24030,3/31/2002,102955,95694
24030,6/30/2002,105888,98205
24030,9/30/2002,107096,99121
24038,12/31/2002,13989,11761
24038,3/31/2002,13667,11431
24038,6/30/2002,13784,11540
24038,9/30/2002,13786,11548
24045,12/31/2002,1050000,910105
24045,3/31/2002,781727,702292
24045,6/30/2002,795736,707666
24045,9/30/2002,1030000,913841
24064,12/31/2002,48258,43749
24064,3/31/2002,45433,41095
24064,6/30/2002,47635,43157
24064,9/30/2002,46901,42440
24067,12/31/2002,1890000,1730000
24067,3/31/2002,1590000,1450000
24067,6/30/2002,1730000,1580000
24067,9/30/2002,1850000,1700000
24074,12/31/2002,367451,340296
24074,3/31/2002,317357,291798
24074,6/30/2002,331210,304508
24074,9/30/2002,384826,356812
24080,12/31/2002,83361,76052
24080,3/31/2002,68314,61658
24080,6/30/2002,68174,61365
24080,9/30/2002,82129,75019
24085,12/31/2002,70109,63888
24085,3/31/2002,68367,62715
24085,6/30/2002,68197,61990
24085,9/30/2002,68918,62649
2409,12/31/2002,114806,105186
2409,3/31/2002,108551,99185
2409,6/30/2002,109196,99960
2409,9/30/2002,112753,103351
24093,12/31/2002,121331,110930
24093,3/31/2002,120179,110441
24093,6/30/2002,119901,109932
24093,9/30/2002,120300,110043
24094,12/31/2002,145675,134766
24094,3/31/2002,132636,122576
24094,6/30/2002,143209,132831
24094,9/30/2002,142102,131432
24096,12/31/2002,337382,314831
24096,3/31/2002,308595,289863
24096,6/30/2002,314331,293339
24096,9/30/2002,336406,313434
24099,12/31/2002,52749,47824
24099,3/31/2002,48122,43575
24099,6/30/2002,50304,45621
24099,9/30/2002,51848,47016
24107,12/31/2002,5160000,4730000
24107,3/31/2002,4270000,3900000
24107,6/30/2002,4510000,4120000
24107,9/30/2002,4810000,4390000
24108,12/31/2002,165281,149338
24108,3/31/2002,162600,146983
24108,6/30/2002,156066,140317
24108,9/30/2002,167283,151314
24109,12/31/2002,84649,77408
24109,3/31/2002,84073,77156
24109,6/30/2002,82507,75387
24109,9/30/2002,84312,77122
2412,12/31/2002,31633,27805
2412,3/31/2002,36203,32863
2412,6/30/2002,33405,29834
2412,9/30/2002,32968,29143
24120,12/31/2002,85937,79266
24120,3/31/2002,76758,70444
24120,6/30/2002,78588,72162
24120,9/30/2002,82933,76407
24123,12/31/2002,265017,248292
24123,3/31/2002,276003,261501
24123,6/30/2002,269614,254220
24123,9/30/2002,266454,250332
2413,12/31/2002,129286,119018
2413,3/31/2002,117195,108121
2413,6/30/2002,121884,112180
2413,9/30/2002,125996,115971
24140,3/31/2002,84350,77753
24140,6/30/2002,84490,77984
24140,9/30/2002,87038,81272
24156,12/31/2002,4140000,3810000
24156,3/31/2002,4110000,3840000
24156,6/30/2002,4120000,3810000
24156,9/30/2002,4170000,3840000
24160,12/31/2002,71677,65734
24160,3/31/2002,69804,64018
24160,6/30/2002,69507,63625
24160,9/30/2002,70382,64332
24170,12/31/2002,1460000,1330000
24170,3/31/2002,1220000,1110000
24170,6/30/2002,1290000,1180000
24170,9/30/2002,1420000,1310000
24173,12/31/2002,115890,104424
24173,3/31/2002,101939,92322
24173,6/30/2002,109686,99221
24173,9/30/2002,112475,101499
24181,12/31/2002,25008,22291
24181,3/31/2002,27489,24827
24181,6/30/2002,25982,23323
24181,9/30/2002,25114,22412
24185,12/31/2002,4960000,4610000
24185,3/31/2002,4130000,3790000
24185,6/30/2002,4260000,3930000
24185,9/30/2002,4460000,4120000
24199,12/31/2002,206109,191438
24199,3/31/2002,178049,164566
24199,6/30/2002,184552,170742
24199,9/30/2002,200804,186578
24200,12/31/2002,290450,268616
24200,3/31/2002,272072,255421
24200,6/30/2002,272858,253479
24200,9/30/2002,281873,260754
24206,12/31/2002,302370,260723
24206,3/31/2002,346346,288134
24206,6/30/2002,336241,273342
24206,9/30/2002,331090,260775
24210,12/31/2002,118816,106007
24210,3/31/2002,92914,86913
24210,6/30/2002,96931,90772
24210,9/30/2002,103984,91218
24211,12/31/2002,37227,34195
24211,3/31/2002,36204,33085
24211,6/30/2002,33608,30526
24211,9/30/2002,34368,31354
24227,3/31/2002,100639,93796
24227,6/30/2002,93866,87023
24227,9/30/2002,94232,87453
24228,3/31/2002,99860,88096
24229,12/31/2002,335627,310066
24229,3/31/2002,235411,218280
24229,6/30/2002,280827,257354
24229,9/30/2002,331330,306687
24243,12/31/2002,912308,840985
24243,3/31/2002,826664,766809
24243,6/30/2002,864105,798378
24243,9/30/2002,864696,794583
24244,12/31/2002,72594,65639
24244,3/31/2002,75318,68093
24244,6/30/2002,77128,69699
24244,9/30/2002,78607,71859
24247,12/31/2002,213442,195540
24247,3/31/2002,149899,137931
24247,6/30/2002,160625,147255
24247,9/30/2002,196985,179692
24250,12/31/2002,52926,49485
24250,3/31/2002,52784,49246
24250,6/30/2002,54191,50774
24250,9/30/2002,53270,49963
24271,12/31/2002,114670,104140
24271,3/31/2002,110727,100883
24271,6/30/2002,111832,101764
24271,9/30/2002,120066,109665
24272,12/31/2002,57268,52682
24272,3/31/2002,56452,52069
24272,6/30/2002,56161,51732
24272,9/30/2002,55744,51229
2429,12/31/2002,168326,149628
2429,3/31/2002,138976,121888
2429,6/30/2002,152729,135038
2429,9/30/2002,155578,137165
243,12/31/2002,50622,45622
243,3/31/2002,49251,44150
243,6/30/2002,49156,43924
243,9/30/2002,49732,44462
24303,12/31/2002,61534,56360
24303,3/31/2002,60495,55268
24303,6/30/2002,62379,57142
24303,9/30/2002,80739,75525
24305,12/31/2002,61626,54659
24305,3/31/2002,59539,52672
24305,6/30/2002,60861,53999
24305,9/30/2002,60070,53014
24307,12/31/2002,64215,59221
24307,3/31/2002,66670,62046
24307,6/30/2002,65794,60816
24307,9/30/2002,65809,60859
24308,12/31/2002,195983,176062
24308,3/31/2002,189317,171617
24308,6/30/2002,192542,173879
24308,9/30/2002,200250,180808
24311,3/31/2002,264195,237985
24311,6/30/2002,268681,241313
24311,9/30/2002,276247,247894
24311,12/31/2002,284492,255572
24312,12/31/2002,125986,109496
24312,3/31/2002,122964,107250
24312,6/30/2002,121656,105959
24312,9/30/2002,120805,104796
24315,12/31/2002,1440000,1310000
24315,3/31/2002,1290000,1180000
24315,6/30/2002,1340000,1220000
24315,9/30/2002,1380000,1250000
24332,12/31/2002,322023,273619
24332,3/31/2002,275762,229936
24332,6/30/2002,299537,253652
24332,9/30/2002,309259,262742
24334,12/31/2002,46476,40013
24334,3/31/2002,47640,41556
24334,6/30/2002,47210,40939
24334,9/30/2002,48401,42027
24342,12/31/2002,16649,14763
24342,3/31/2002,17241,15404
24342,6/30/2002,16707,14840
24342,9/30/2002,16596,14678
24347,12/31/2002,589803,545166
24347,3/31/2002,464871,432150
24347,6/30/2002,538266,497643
24347,9/30/2002,569205,526303
24350,12/31/2002,71434,65682
24350,3/31/2002,69547,64714
24350,6/30/2002,70225,64716
24350,9/30/2002,73066,67325
24353,12/31/2002,89287,82051
24353,6/30/2002,84448,77593
24353,9/30/2002,88499,81263
24353,3/31/2002,83763,77475
24355,12/31/2002,48439,45091
24355,3/31/2002,42164,39056
24355,6/30/2002,42700,39517
24355,9/30/2002,45942,42664
24367,12/31/2002,45059,40475
24367,3/31/2002,46853,42418
24367,6/30/2002,45378,40863
24367,9/30/2002,45340,40714
24387,3/31/2002,161532,126669
24387,6/30/2002,166471,131459
24387,12/31/2002,185016,149379
24387,9/30/2002,180852,145560
24391,12/31/2002,82511,75492
24391,3/31/2002,76063,69256
24391,6/30/2002,76909,69955
24391,9/30/2002,78560,71478
24422,12/31/2002,38266,34974
24422,3/31/2002,36276,34244
24422,6/30/2002,36391,34126
24422,9/30/2002,37740,34592
2443,12/31/2002,160780,145459
2443,3/31/2002,161050,147511
2443,6/30/2002,160001,145669
2443,9/30/2002,160699,145785
2444,12/31/2002,59604,52804
2444,3/31/2002,64100,57242
2444,6/30/2002,62780,55987
2444,9/30/2002,61675,54814
24443,12/31/2002,17548,16162
24443,3/31/2002,17012,15747
24443,6/30/2002,16516,15202
24443,9/30/2002,17169,15689
24445,12/31/2002,141844,128296
24445,3/31/2002,120700,112370
24445,6/30/2002,123279,110587
24445,9/30/2002,124613,111678
24458,12/31/2002,1210000,1110000
24458,3/31/2002,1100000,995658
24458,6/30/2002,1160000,1060000
24458,9/30/2002,1170000,1070000
24465,12/31/2002,77000,69070
24465,3/31/2002,81594,73666
24465,6/30/2002,79990,71567
24465,9/30/2002,83268,74554
24471,12/31/2002,28860,21466
24471,3/31/2002,26673,18902
24471,6/30/2002,27649,19669
24471,9/30/2002,28801,20668
24472,12/31/2002,116828,106333
24472,3/31/2002,109154,99927
24472,6/30/2002,112828,103020
24472,9/30/2002,109705,99364
2448,12/31/2002,49332,42461
2448,3/31/2002,48937,42386
2448,6/30/2002,50876,44079
2448,9/30/2002,50331,43440
24481,12/31/2002,110538,101816
24481,3/31/2002,95817,88863
24481,6/30/2002,105888,97465
24481,9/30/2002,111122,102493
24493,3/31/2002,40307,37039
24493,12/31/2002,39190,35662
24493,6/30/2002,41802,38357
24493,9/30/2002,39044,35520
24495,12/31/2002,65165,57882
24495,3/31/2002,62311,55691
24495,6/30/2002,64464,57473
24495,9/30/2002,64349,56964
24497,12/31/2002,79118,70149
24497,3/31/2002,62795,54884
24497,6/30/2002,74218,65923
24497,9/30/2002,72073,63346
24498,12/31/2002,48646,44889
24498,3/31/2002,43938,40533
24498,6/30/2002,46762,43162
24498,9/30/2002,47888,44200
245,12/31/2002,94397,85512
245,3/31/2002,92528,84022
245,6/30/2002,92680,83978
245,9/30/2002,89594,80770
24500,12/31/2002,72487,66739
24500,3/31/2002,64273,59318
24500,6/30/2002,66321,61160
24500,9/30/2002,70406,64841
24503,12/31/2002,17500000,14200000
24503,9/30/2002,16900000,13700000
24503,3/31/2002,15200000,12000000
24503,6/30/2002,14800000,11600000
24516,12/31/2002,755961,690880
24516,3/31/2002,696985,637881
24516,6/30/2002,707490,646325
24516,9/30/2002,744022,681038
2452,12/31/2002,86953,77242
2452,3/31/2002,83269,74029
2452,6/30/2002,84755,74711
2452,9/30/2002,84652,74814
24526,12/31/2002,756173,699624
24526,3/31/2002,631889,578552
24526,6/30/2002,654889,599325
24526,9/30/2002,694552,637574
2453,12/31/2002,123919,103482
2453,3/31/2002,124369,104165
2453,6/30/2002,125718,105536
2453,9/30/2002,124846,104376
24540,12/31/2002,262966,240449
24540,3/31/2002,192011,175947
24540,6/30/2002,229003,211090
24540,9/30/2002,231167,212641
2455,12/31/2002,97211,85486
2455,3/31/2002,93821,82984
2455,6/30/2002,94633,83278
2455,9/30/2002,94584,82725
24551,12/31/2002,140645,130547
24551,3/31/2002,130006,121598
24551,6/30/2002,138623,129544
24551,9/30/2002,141178,131271
24561,12/31/2002,152034,137310
24561,3/31/2002,139576,129135
24561,6/30/2002,141247,127790
24561,9/30/2002,144918,130936
24563,12/31/2002,17341,14834
24563,3/31/2002,17515,15191
24563,6/30/2002,17239,14848
24563,9/30/2002,17068,14620
24575,12/31/2002,28619,26100
24575,3/31/2002,30341,27910
24575,6/30/2002,31306,28843
24575,9/30/2002,31918,29441
24577,12/31/2002,38211,34754
24577,3/31/2002,38122,35133
24577,6/30/2002,37368,34121
24577,9/30/2002,37639,34302
24581,12/31/2002,762106,699615
24581,3/31/2002,657213,603789
24581,6/30/2002,703177,645131
24581,9/30/2002,720790,659973
24603,12/31/2002,98283,89406
24603,3/31/2002,96240,88346
24603,6/30/2002,96817,88456
24603,9/30/2002,97800,89148
24606,12/31/2002,254749,233953
24606,3/31/2002,230484,211291
24606,6/30/2002,240589,220777
24606,9/30/2002,245418,224773
24642,12/31/2002,255341,238172
24642,3/31/2002,227779,212755
24642,6/30/2002,237305,221749
24642,9/30/2002,211315,194735
24655,12/31/2002,283866,257687
24655,3/31/2002,228923,205553
24655,6/30/2002,237443,213451
24655,9/30/2002,272368,246564
24660,12/31/2002,90330,83473
24660,3/31/2002,83482,77652
24660,6/30/2002,85785,79205
24660,9/30/2002,85984,79140
2467,12/31/2002,90178,81142
2467,3/31/2002,87845,78942
2467,6/30/2002,86950,77716
2467,9/30/2002,90310,81253
24675,3/31/2002,109300,97435
24675,6/30/2002,110515,98066
24677,12/31/2002,105158,95640
24677,3/31/2002,99950,89966
24677,6/30/2002,98676,89551
24677,9/30/2002,102722,93430
24678,3/31/2002,101349,94984
24678,6/30/2002,102248,95547
24678,9/30/2002,105068,97952
24679,12/31/2002,90753,81352
24679,3/31/2002,112208,103330
24679,6/30/2002,109870,100614
24679,9/30/2002,89444,79878
2468,12/31/2002,250918,217736
2468,3/31/2002,230223,200401
2468,6/30/2002,236825,205611
2468,9/30/2002,244097,210733
24681,3/31/2002,1190,19
24682,12/31/2002,55899,49528
24682,3/31/2002,56879,51054
24682,6/30/2002,58653,52568
24682,9/30/2002,58082,51778
24688,3/31/2002,460878,419624
24688,6/30/2002,459811,417410
24688,9/30/2002,480510,437248
2469,12/31/2002,60994,54840
2469,3/31/2002,63181,57636
2469,6/30/2002,59978,54205
2469,9/30/2002,61851,55731
24701,12/31/2002,31604,29559
24701,3/31/2002,27688,25552
24701,6/30/2002,30093,27901
24701,9/30/2002,33128,30991
24707,12/31/2002,25976,24228
24707,3/31/2002,23550,21871
24707,6/30/2002,24383,22626
24707,9/30/2002,25665,23889
24735,12/31/2002,3930000,3490000
24735,3/31/2002,3760000,3300000
24735,6/30/2002,3610000,3120000
24735,9/30/2002,3680000,3180000
24736,3/31/2002,152577,112939
24743,12/31/2002,1120000,1030000
24743,3/31/2002,1030000,945801
24743,6/30/2002,1060000,975395
24743,9/30/2002,1100000,1000000
24746,12/31/2002,120747,112815
24746,3/31/2002,106092,99087
24746,6/30/2002,109998,103112
24746,9/30/2002,114419,106942
2476,12/31/2002,123648,113105
2476,3/31/2002,102647,93669
2476,6/30/2002,109225,99785
2476,9/30/2002,111460,101617
