id,date,security,asset,liability
253,2002-03-31,34,94573,85796
1118,2002-09-30,291,48312,42875
22391,2002-03-31,1766,127300,110839
1692,2002-09-30,4919,76815,67974
4127,2002-03-31,802,158489,144626
3896,2002-09-30,9178,92967,80550
1480,2002-06-30,698,51823,46872
26773,2002-09-30,27204,291087,263248
28722,2002-03-31,637,3227,2538
10523,2002-12-31,0,245777,212907
33318,2002-03-31,372750,44000000,36900000
57089,2002-06-30,0,21376,16054
3600,2002-09-30,857,20087,17564
12858,2002-12-31,13185,175096,161707
33103,2002-12-31,0,232520,217537
30028,2002-03-31,126477,1180000,993746
16579,2002-09-30,0,253853,217045
14530,2002-03-31,69686,457908,418630
11300,2002-09-30,18,13248,12195
57364,2002-09-30,0,58526,47503
34656,2002-09-30,26657,191224,174545
34301,2002-03-31,11368,125082,115372
8527,2002-12-31,38551,377179,327675
15007,2002-06-30,2640,37337,32961
4519,2002-09-30,11754,145826,130130
3273,2002-06-30,0,50451,45871
24271,2002-12-31,0,114670,104140
10849,2002-06-30,13141,85059,75221
17967,2002-09-30,1308,89243,82843
5617,2002-12-31,32311,238617,223293
17224,2002-03-31,18573,226499,199019
29133,2002-03-31,1347,65039,62555
14062,2002-03-31,8335,84060,76000
16753,2002-03-31,57924,160025,146279
19953,2002-06-30,205858,1120000,1040000
2786,2002-03-31,31,61295,56520
29471,2002-06-30,13270,62069,52195
57098,2002-06-30,9506,41412,34414
22652,2002-09-30,21737,236197,212594
30174,2002-03-31,1860000,5250000,4840000
13162,2002-03-31,511,28859,26759
16275,2002-03-31,453,74867,68908
2695,2002-09-30,0,134807,123982
1852,2002-06-30,22974,217650,195847
15347,2002-12-31,2187,75113,68521
18843,2002-12-31,13956,828577,745485
16167,2002-03-31,0,47468,43700
10073,2002-12-31,2771,289128,266711
14043,2002-12-31,45809,286757,255084
8558,2002-03-31,2,33135,28623
29685,2002-03-31,6416,58004,50387
1390,2002-03-31,496,146245,134599
24311,2002-09-30,2419,276247,247894
10919,2002-09-30,385,24134,19900
33904,2002-03-31,0,82275,76390
20028,2002-03-31,263,33232,30393
34092,2002-09-30,115,109356,101786
7704,2002-03-31,2195,88887,82541
1005,2002-06-30,12081,493665,454358
2725,2002-12-31,2,311800,277070
33484,2002-03-31,8374,46779,43330
51,2002-12-31,2925,101322,92319
2398,2002-09-30,6011,116112,106066
17093,2002-06-30,671,295940,260281
9079,2002-06-30,0,157815,139573
1690,2002-06-30,199,61876,53814
12830,2002-12-31,18,73751,66124
28262,2002-06-30,15148,448268,408063
3892,2002-09-30,94520,353233,311524
6540,2002-06-30,30665,696535,623114
28178,2002-03-31,503677,4010000,3690000
17671,2002-06-30,565,21179,19018
17068,2002-12-31,625,115450,107151
5123,2002-09-30,21718,142675,127801
15913,2002-06-30,9758,93120,84647
20015,2002-09-30,0,490512,417664
31142,2002-06-30,22204,79598,67112
3325,2002-12-31,0,252700,236211
32534,2002-09-30,0,180389,134031
2695,2002-12-31,0,139325,129571
1868,2002-06-30,1451,150399,134170
17524,2002-09-30,92,99853,92004
18795,2002-03-31,0,20494,18282
32511,2002-09-30,827,90385,83227
22598,2002-12-31,0,69219,64755
3809,2002-06-30,11924,382958,354512
34666,2002-06-30,9450,47960,43580
14329,2002-03-31,940,173353,161766
34145,2002-06-30,13596,74307,66195
28856,2002-12-31,22296,915881,843477
12392,2002-06-30,10562,85125,77705
26829,2002-06-30,9269,67355,61912
28770,2002-03-31,0,6359,5535
30167,2002-12-31,15494,148827,127085
28299,2002-06-30,23411,167439,149577
33656,2002-09-30,0,35646,35646
1281,2002-06-30,130491,2000000,1800000
10641,2002-03-31,575,3828,1838
24823,2002-06-30,47354,223276,207168
33506,2002-06-30,0,99586,92022
414,2002-09-30,18248,117266,98063
5452,2002-06-30,71414,4990000,4620000
16942,2002-03-31,0,19804,17678
29442,2002-03-31,6194,38551,34000
197,2002-06-30,11650,115013,104164
16664,2002-06-30,116,335298,309034
20119,2002-03-31,376591,2040000,1870000
32270,2002-03-31,9667,131603,122316
29554,2002-06-30,110345,242507,210065
23568,2002-03-31,63362,277990,262094
11930,2002-03-31,7,17316,15247
34445,2002-06-30,2810,67515,62638
101,2002-03-31,0,71384,63821
5252,2002-12-31,14350,116255,105653
35336,2002-09-30,0,35664,31674
90270,2002-06-30,49220,298803,272613
17870,2002-09-30,103899,1710000,1580000
21567,2002-03-31,901,24921,22688
1331,2002-06-30,132420,927376,830805
10206,2002-06-30,2270,50046,45132
16982,2002-09-30,9111,219239,191225
9634,2002-06-30,1391,14532,11894
35545,2002-03-31,352,20669,18263
13677,2002-12-31,7,34832,30405
13179,2002-06-30,0,162261,147247
34160,2002-03-31,1725,64973,56825
10202,2002-09-30,356,21144,19019
4177,2002-09-30,0,47761,42277
803,2002-06-30,276702,3190000,2870000
57201,2002-09-30,0,69122,59174
90303,2002-12-31,126798,734791,661012
17927,2002-03-31,0,9051,8009
30125,2002-09-30,567234,1970000,1800000
1592,2002-03-31,12214,172845,155531
27293,2002-06-30,47,80331,71411
34762,2002-09-30,0,140390,129312
27096,2002-09-30,20393,182163,165855
5622,2002-03-31,22698,252832,229218
33316,2002-09-30,0,109478,100191
17403,2002-03-31,0,18208,16467
28425,2002-06-30,21186,174326,156261
12484,2002-06-30,465,10240,7691
9454,2002-06-30,7939,238437,218113
34692,2002-06-30,11982,125661,116015
11625,2002-06-30,0,32245,28025
28880,2002-12-31,0,28538,23911
5208,2002-12-31,673930,52800000,48800000
8337,2002-06-30,3,43388,39242
35476,2002-09-30,8238,69693,61974
13366,2002-09-30,25676,106069,96734
22643,2002-12-31,20257,344949,313035
14533,2002-06-30,4710000,23400000,20700000
25173,2002-09-30,5486,106979,99411
2289,2002-06-30,14844,58419,51842
33142,2002-09-30,3711,252418,230863
6058,2002-09-30,59528,284379,246762
6759,2002-09-30,10,23261,21669
33135,2002-12-31,289,48932,41672
12128,2002-03-31,241,28616,25677
1787,2002-12-31,0,52201,42916
12636,2002-03-31,1091,34370,28548
14552,2002-06-30,7231,85886,80706
3074,2002-06-30,425,19199,15701
26744,2002-03-31,23546,207856,190254
1027,2002-03-31,28447,178346,159351
1416,2002-06-30,41,29909,26305
17169,2002-06-30,12780,79996,70850
1373,2002-03-31,0,46699,43066
22430,2002-06-30,2435,8652,7876
29995,2002-03-31,51838,250853,220695
2773,2002-09-30,24810,681318,620484
1778,2002-06-30,8159,52307,46977
26460,2002-09-30,40405,174114,160992
10911,2002-12-31,110637,1160000,1030000
13810,2002-06-30,14889,191931,176564
8640,2002-03-31,7115,36537,31845
29047,2002-03-31,51515,455152,408641
3698,2002-03-31,2260,48934,45825
12207,2002-12-31,3508,84855,72323
12514,2002-12-31,18357,231014,211556
15146,2002-03-31,360,42444,38870
22346,2002-03-31,3725,33642,29571
34873,2002-12-31,1256,60157,55489
12504,2002-06-30,307,79582,73758
34783,2002-12-31,0,72065,65280
15261,2002-06-30,2331,80869,71101
6176,2002-03-31,1983,133387,112948
35347,2002-09-30,18236,227862,203237
29135,2002-03-31,36493,103124,89806
20646,2002-12-31,995,22871,20631
31409,2002-03-31,5544,39772,31834
14099,2002-06-30,883571,2570000,2350000
32503,2002-12-31,8334,225377,209218
5663,2002-03-31,22899,118356,108786
5111,2002-06-30,2414,161560,144842
29578,2002-06-30,17310,71325,64978
3657,2002-03-31,192779,1800000,1660000
3336,2002-06-30,0,24256,20514
6092,2002-09-30,0,28863,24705
11521,2002-09-30,718,27001,24117
9777,2002-03-31,6604,107462,92142
31905,2002-06-30,20929,79810,73842
22401,2002-09-30,6546,312977,285244
33535,2002-06-30,19332,887059,710513
5673,2002-03-31,6275,93439,78459
11357,2002-12-31,7030,27650,25768
28543,2002-03-31,17608,51353,46956
8751,2002-12-31,18918,108862,99745
16958,2002-03-31,21030,229811,210778
34058,2002-09-30,14696,141351,126704
1122,2002-09-30,0,211642,178536
11350,2002-09-30,367,46808,42889
57156,2002-09-30,5573,22229,20641
23588,2002-03-31,30950,138861,129394
33826,2002-12-31,265211,1700000,1550000
18216,2002-09-30,2423,19697,17308
27086,2002-06-30,13436,110900,100577
35416,2002-09-30,5325,72402,65747
8660,2002-03-31,2813,361540,329450
5337,2002-06-30,0,157542,136089
21643,2002-09-30,0,211256,179403
5337,2002-09-30,0,156890,134553
26552,2002-06-30,65592,262550,236300
33029,2002-12-31,404043,1580000,1400000
33458,2002-06-30,13027,183160,165623
1800,2002-06-30,4407,71323,61882
8136,2002-12-31,10206,325246,299934
983,2002-06-30,2980000,37400000,33600000
13809,2002-06-30,11292,75204,68117
26631,2002-06-30,5966,660435,603615
12694,2002-12-31,0,68548,63645
20367,2002-09-30,1550,260591,236727
18621,2002-03-31,2949,153232,132062
1965,2002-03-31,0,22318,20364
32974,2002-12-31,25956,343030,319113
24422,2002-03-31,576,36276,34244
19448,2002-09-30,31909,280486,239832
26551,2002-06-30,0,130411,120689
21206,2002-09-30,2043,129195,119757
14944,2002-09-30,352,11004,10434
2993,2002-12-31,52524,2770000,2330000
5838,2002-12-31,5510,38100,34850
21988,2002-12-31,42,119604,109667
4171,2002-09-30,7018,123204,114152
29907,2002-06-30,6450,147375,132425
32174,2002-03-31,91506,543572,481027
31964,2002-12-31,12540,485229,448707
12298,2002-06-30,33,19215,17187
10202,2002-03-31,457,19918,17959
3931,2002-03-31,85496,460106,409402
12172,2002-09-30,0,409687,364306
6209,2002-03-31,3245,176566,162087
34416,2002-12-31,0,381264,336744
18812,2002-09-30,30297,248369,227135
34872,2002-03-31,3179,24579,21930
19690,2002-12-31,18137,446914,406010
20594,2002-03-31,1864,278440,251669
30133,2002-09-30,29415,129880,116148
34802,2002-12-31,3564,100774,93853
26967,2002-06-30,0,37086,32778
3818,2002-09-30,7087,49968,44168
16635,2002-09-30,796,28191,25255
26624,2002-06-30,5451,205313,182343
2753,2002-09-30,24550,95450,86473
34687,2002-06-30,4394,49199,43942
29608,2002-09-30,0,24174,22086
22034,2002-09-30,5565,43740,40012
10821,2002-03-31,16921,61195,51009
28511,2002-12-31,110648,1360000,1260000
5575,2002-12-31,1475,102730,93785
5150,2002-09-30,81,23378,20430
34120,2002-03-31,0,229875,210901
1801,2002-03-31,2067,183333,168930
32355,2002-03-31,1197,116002,106018
34412,2002-12-31,17179,53207,47624
32069,2002-12-31,259708,796480,719848
19744,2002-09-30,4642,65616,59688
13990,2002-09-30,3270,26428,23645
11583,2002-03-31,1936,110623,106229
16971,2002-06-30,1009,43287,39187
4160,2002-06-30,7049,61181,54573
18483,2002-03-31,105,13677,11869
11788,2002-09-30,6063,61592,51809
13104,2002-06-30,5338,49741,44691
34156,2002-09-30,4315,108676,98906
4697,2002-09-30,0,387416,347693
34080,2002-06-30,2456,100869,90738
4766,2002-03-31,452,31000,25998
28729,2002-12-31,26552,106662,99447
26264,2002-06-30,0,84140,74680
29670,2002-09-30,896,78512,72363
16748,2002-06-30,8159,180864,167270
9374,2002-03-31,0,9381,8041
14315,2002-12-31,0,36397,30701
14051,2002-12-31,7863,56729,51021
10512,2002-03-31,0,77815,69214
57335,2002-12-31,1453,62164,54095
30005,2002-03-31,0,928849,814468
30817,2002-12-31,35209,184205,164134
26962,2002-09-30,2324,625749,578592
34953,2002-09-30,0,134806,121060
23291,2002-06-30,51410,3160000,2930000
8800,2002-06-30,28335,116989,105884
13789,2002-03-31,0,7192,6655
6008,2002-03-31,620,77113,66392
26583,2002-12-31,0,23942,22158
34980,2002-06-30,14788,215766,198436
32654,2002-09-30,36,94333,87630
23047,2002-09-30,6105,112331,103711
10575,2002-12-31,4357,16515,14233
18685,2002-09-30,3665,136429,120379
3896,2002-12-31,9159,99996,87736
8761,2002-03-31,4387,78013,71618
34020,2002-09-30,0,54156,50113
31004,2002-06-30,5196,48303,43817
19468,2002-03-31,3272,135054,122782
35055,2002-06-30,114566,334351,233120
32487,2002-09-30,1648,60340,56528
23671,2002-12-31,52,75596,68513
26967,2002-09-30,0,38774,34393
20594,2002-06-30,1620,292935,265083
18051,2002-06-30,5346,29741,26963
29416,2002-06-30,8764,19223,16257
8254,2002-06-30,1325,65227,59418
3892,2002-03-31,102074,356618,306216
7228,2002-12-31,31402,159851,149514
35282,2002-12-31,945,60574,55163
2784,2002-09-30,3251,102572,87285
30241,2002-06-30,2222,11911,10048
15427,2002-09-30,4393,62442,52986
1342,2002-12-31,439222,679059,632411
4768,2002-09-30,23155,536824,459198
32647,2002-12-31,4427,380917,345831
15855,2002-12-31,7425,60325,54229
1693,2002-03-31,6151,49025,43687
35100,2002-06-30,9537,195604,178631
12368,2002-06-30,6170000,43000000,39600000
4091,2002-06-30,68307,358978,329801
18794,2002-12-31,0,17550,16485
12365,2002-09-30,3390,79860,70555
10192,2002-09-30,15626,204025,186408
10011,2002-12-31,0,91912,84692
15375,2002-09-30,0,26670,22978
5162,2002-03-31,2273,58776,51402
8725,2002-09-30,0,34827,31996
26592,2002-06-30,129308,715359,673891
14619,2002-12-31,228,83389,77231
30887,2002-06-30,607538,2830000,2600000
57039,2002-09-30,2950,102282,93011
13902,2002-06-30,32,16675,14284
8110,2002-12-31,576,38158,33735
16583,2002-03-31,5,8553,7377
